id,email,created_at,is_valid,campaign_name
,qryan@glover.com,,1,1
,burgessjohn@johnson-patton.com,,1,1
,kimberlywhite@gmail.com,,1,1
,ymoore@sanders-smith.org,,1,1
,kevinmoran@hotmail.com,,1,1
,amanda56@rangel.com,,1,1
,lorraine36@yahoo.com,,1,1
,rothsuzanne@solomon.com,,1,1
,qcampos@jones-fletcher.com,,1,1
,jgriffin@martin.com,,1,1
,scottbecky@gmail.com,,1,1
,robert75@burke.com,,1,1
,cantutara@gmail.com,,1,1
,davismichael@maldonado-pope.com,,1,1
,stacyjohnston@watson-ortega.org,,1,1
,swright@davis.com,,1,1
,gordonsavannah@cooper.info,,1,1
,jefferyclayton@yahoo.com,,1,1
,hunterkevin@yahoo.com,,1,1
,melissawilliams@hotmail.com,,1,1
,rmartin@gmail.com,,1,1
,paul87@hotmail.com,,1,1
,aaron64@campbell-davis.com,,1,1
,wstevenson@hotmail.com,,1,1
,james05@newman.com,,1,1
,ronaldlove@hotmail.com,,1,1
,martinkimberly@gmail.com,,1,1
,otownsend@schwartz.com,,1,1
,katrinasmith@yahoo.com,,1,1
,danielfischer@yahoo.com,,1,1
,anthonyaguirre@hotmail.com,,1,1
,robindavis@jones.com,,1,1
,brandiparker@hotmail.com,,1,1
,jasonevans@robertson.com,,1,1
,alexandra88@gmail.com,,1,1
,leah24@hotmail.com,,1,1
,mariawilliams@hotmail.com,,1,1
,castillojames@gmail.com,,1,1
,duncanjean@gmail.com,,1,1
,erin88@wise-simon.net,,1,1
,jason51@davis-morrow.biz,,1,1
,james33@johnson-smith.com,,1,1
,allenrebecca@hotmail.com,,1,1
,meltonwilliam@moore.com,,1,1
,lisa42@yahoo.com,,1,1
,iwalsh@orozco.com,,1,1
,thompsonholly@marshall.com,,1,1
,lauraherrera@krueger.org,,1,1
,eric12@gmail.com,,1,1
,michael79@morales.biz,,1,1
,zrodriguez@hotmail.com,,1,1
,isabelsmith@bishop.com,,1,1
,owilliams@yahoo.com,,1,1
,gomezbrittany@hotmail.com,,1,1
,susanbernard@hendrix-lane.com,,1,1
,ufletcher@hotmail.com,,1,1
,maydavid@hill.com,,1,1
,ecaldwell@vargas-sharp.org,,1,1
,andrew00@barker.net,,1,1
,tfox@yahoo.com,,1,1
,matthew35@yahoo.com,,1,1
,morganmichael@weber-oliver.net,,1,1
,watsonkaren@hotmail.com,,1,1
,ronald19@phelps.org,,1,1
,gregoryreed@white.org,,1,1
,beckermark@hotmail.com,,1,1
,michaelhale@gmail.com,,1,1
,angelhuffman@hotmail.com,,1,1
,fnelson@jones.com,,1,1
,colechristopher@cook.com,,1,1
,qmathis@nolan.biz,,1,1
,johnmcdaniel@swanson-fowler.info,,1,1
,acevedoanna@gmail.com,,1,1
,katrinawheeler@yahoo.com,,1,1
,olivia24@moss-garcia.com,,1,1
,dlittle@gmail.com,,1,1
,holiver@daugherty.com,,1,1
,lowerymichelle@hotmail.com,,1,1
,codypoole@bell-craig.com,,1,1
,barbara49@ruiz-ramos.com,,1,1
,jgibson@gmail.com,,1,1
,jonathan77@moore.com,,1,1
,brewerandre@king.com,,1,1
,ncarroll@haynes-stephenson.biz,,1,1
,coreygray@miller-rodriguez.org,,1,1
,kristenjacobson@yahoo.com,,1,1
,joneschristina@miles.com,,1,1
,samanthacooper@jones.org,,1,1
,tschmitt@mccormick-lamb.com,,1,1
,rmoody@lucas.com,,1,1
,dfowler@howell.com,,1,1
,palmermason@moore.com,,1,1
,nicole87@roberson.org,,1,1
,jonathan75@yahoo.com,,1,1
,xburns@garcia.com,,1,1
,scottchristopher@hotmail.com,,1,1
,crystalbrown@hotmail.com,,1,1
,bakeredward@gallegos.com,,1,1
,mclaughlinnatasha@neal.net,,1,1
,brockanthony@castillo-scott.com,,1,1
,lisa62@gmail.com,,1,1
,kyle30@hotmail.com,,1,1
,powellricky@gonzalez.biz,,1,1
,afrench@hotmail.com,,1,1
,david19@mccann-anderson.com,,1,1
,ecox@harding.biz,,1,1
,bgonzalez@hotmail.com,,1,1
,james43@yahoo.com,,1,1
,dramirez@yahoo.com,,1,1
,rachel12@myers.info,,1,1
,walterscott@hotmail.com,,1,1
,leemelissa@smith.com,,1,1
,daniellematthews@gmail.com,,1,1
,clong@yahoo.com,,1,1
,mcfarlandsusan@perez.com,,1,1
,lindaschroeder@hurley.net,,1,1
,fergusondustin@yahoo.com,,1,1
,tdavidson@lopez-lucas.org,,1,1
,brittneywilliams@king-thompson.com,,1,1
,jamesvazquez@hall.net,,1,1
,higginsgerald@yahoo.com,,1,1
,ajohnson@alvarez.biz,,1,1
,fharris@yahoo.com,,1,1
,jermainenichols@brown.com,,1,1
,karensalazar@perez.com,,1,1
,thomasbarnes@maxwell.com,,1,1
,aaronpowell@mann.com,,1,1
,wintersheather@gmail.com,,1,1
,matthewslynn@gmail.com,,1,1
,suarezcynthia@gmail.com,,1,1
,kelleyadam@ward-barry.com,,1,1
,christine05@yahoo.com,,1,1
,lindsay42@dickerson.info,,1,1
,billy76@yahoo.com,,1,1
,abell@anderson.net,,1,1
,garciamary@gmail.com,,1,1
,laura26@hotmail.com,,1,1
,cheryl20@yahoo.com,,1,1
,marisa76@mora.info,,1,1
,katrina85@gmail.com,,1,1
,mknapp@singh-terry.net,,1,1
,ybishop@reynolds.info,,1,1
,qdavies@carson.org,,1,1
,wcruz@keller.com,,1,1
,kenneth22@smith.com,,1,1
,tperez@sanchez-hernandez.com,,1,1
,rhodesethan@yahoo.com,,1,1
,nholland@young.com,,1,1
,kbrown@hotmail.com,,1,1
,georgegilbert@casey-griffin.org,,1,1
,blake19@long-reilly.com,,1,1
,kennethcohen@martinez.com,,1,1
,melindahughes@yahoo.com,,1,1
,timothy87@gmail.com,,1,1
,ramirezjulia@yahoo.com,,1,1
,montoyajames@mendez-winters.org,,1,1
,alexaherrera@hotmail.com,,1,1
,joshuajackson@brown.org,,1,1
,krystal93@gardner.net,,1,1
,jonathan78@gmail.com,,1,1
,frankbarr@gmail.com,,1,1
,anabartlett@yahoo.com,,1,1
,sullivankurt@gmail.com,,1,1
,joseph56@hotmail.com,,1,1
,churcherica@hotmail.com,,1,1
,juliewilliams@gmail.com,,1,1
,nmack@yahoo.com,,1,1
,joshuasanchez@mann-mccoy.com,,1,1
,sabrinaschultz@rivera.info,,1,1
,katie08@reeves-rojas.com,,1,1
,gutierrezjerome@yahoo.com,,1,1
,andersontamara@gmail.com,,1,1
,mramsey@hotmail.com,,1,1
,pamela65@williamson.com,,1,1
,littlejacob@gmail.com,,1,1
,rebeccacastillo@miller-perry.com,,1,1
,nathan10@pollard-scott.org,,1,1
,ktaylor@weaver.com,,1,1
,jameskayla@hotmail.com,,1,1
,amandafinley@gmail.com,,1,1
,keithmatthews@raymond.org,,1,1
,jwallace@smith.biz,,1,1
,mitchellreyes@riley.com,,1,1
,ptaylor@hotmail.com,,1,1
,christopherking@gmail.com,,1,1
,kathywalker@gmail.com,,1,1
,jennifer13@hotmail.com,,1,1
,ttaylor@yahoo.com,,1,1
,amysanchez@miller-chambers.com,,1,1
,jonesscott@davis.net,,1,1
,espinozatimothy@hotmail.com,,1,1
,qpatel@ewing.biz,,1,1
,fisherkyle@mejia-day.com,,1,1
,richardsonbetty@yahoo.com,,1,1
,alexandriarandall@torres-drake.com,,1,1
,rodriguezcynthia@bell.com,,1,1
,wunatalie@kane.com,,1,1
,stevengardner@gill.com,,1,1
,melissa71@gmail.com,,1,1
,debra71@austin-graves.com,,1,1
,millermelissa@gmail.com,,1,1
,tiffany25@hotmail.com,,1,1
,garciapatricia@gmail.com,,1,1
,oherring@gmail.com,,1,1
,tylersmith@hotmail.com,,1,1
,vclayton@hotmail.com,,1,1
,jerrystafford@gmail.com,,1,1
,qclark@gmail.com,,1,1
,john79@gmail.com,,1,1
,petersdylan@ryan.com,,1,1
,raydaniel@gmail.com,,1,1
,david35@yahoo.com,,1,1
,gonzalezmary@hotmail.com,,1,1
,robertscharles@russo-conner.com,,1,1
,robinsonryan@huffman.net,,1,1
,spencer72@flowers.com,,1,1
,jasminetaylor@hotmail.com,,1,1
,sarah25@gmail.com,,1,1
,davisleah@campbell-williams.com,,1,1
,johnsontiffany@yahoo.com,,1,1
,rgarcia@clayton.org,,1,1
,huangyesenia@gmail.com,,1,1
,cluna@hotmail.com,,1,1
,wherrera@hubbard.com,,1,1
,crystal56@anderson.biz,,1,1
,robertorobinson@yahoo.com,,1,1
,sbeard@hotmail.com,,1,1
,dawn88@yahoo.com,,1,1
,kariboyd@carter.com,,1,1
,ortizlarry@day.biz,,1,1
,roy93@gmail.com,,1,1
,stephenday@hotmail.com,,1,1
,troysmith@bell.com,,1,1
,montoyarobert@yahoo.com,,1,1
,marcusrogers@vincent.com,,1,1
,ztaylor@hotmail.com,,1,1
,mollylewis@yahoo.com,,1,1
,smithrichard@mcbride.com,,1,1
,munozshawn@hotmail.com,,1,1
,crystal41@king.com,,1,1
,rogersethan@turner.com,,1,1
,barbarabrown@yahoo.com,,1,1
,roberthamilton@hotmail.com,,1,1
,gsteele@gmail.com,,1,1
,joshuamartinez@freeman.org,,1,1
,wilsonsamantha@white.com,,1,1
,sheila16@yahoo.com,,1,1
,michellecoffey@yahoo.com,,1,1
,shawmeghan@yahoo.com,,1,1
,crystal58@gutierrez-rivera.com,,1,1
,gwarren@brown.com,,1,1
,jhorne@gmail.com,,1,1
,ryanmanning@bruce-miller.com,,1,1
,iandrews@vaughn.org,,1,1
,vjohnson@alvarez-scott.com,,1,1
,wwalker@yahoo.com,,1,1
,amcmillan@lee.info,,1,1
,michael67@strickland-holloway.com,,1,1
,stephanie94@yahoo.com,,1,1
,rachelmyers@williams.com,,1,1
,ucastillo@smith.info,,1,1
,llambert@may.com,,1,1
,krista53@austin.net,,1,1
,scottdana@marks.net,,1,1
,kimberly16@yahoo.com,,1,1
,tiffany96@yahoo.com,,1,1
,fisherronald@yahoo.com,,1,1
,benjaminfields@gmail.com,,1,1
,sarahshepard@sullivan.com,,1,1
,vincentobrien@jackson-jackson.com,,1,1
,tatelinda@yahoo.com,,1,1
,jeffsmith@hotmail.com,,1,1
,xellis@young.org,,1,1
,taylor35@harvey-smith.com,,1,1
,jreese@gmail.com,,1,1
,joneskarina@yahoo.com,,1,1
,wmiller@gmail.com,,1,1
,vmorales@wyatt.com,,1,1
,phernandez@gillespie.com,,1,1
,aconway@wilson.com,,1,1
,uwhite@hotmail.com,,1,1
,trancandace@hotmail.com,,1,1
,brendacaldwell@gmail.com,,1,1
,bwalker@yahoo.com,,1,1
,edward64@crawford.net,,1,1
,smithsandra@gmail.com,,1,1
,lsanchez@george.org,,1,1
,elizabeth49@gmail.com,,1,1
,jeremiah95@baker-hamilton.info,,1,1
,bbrooks@hotmail.com,,1,1
,hayesjanet@jones.com,,1,1
,hurleydanielle@fleming.net,,1,1
,patrick54@yahoo.com,,1,1
,newmanariel@moore-lucero.com,,1,1
,lopezlynn@johnson-carter.com,,1,1
,gallaghercindy@hotmail.com,,1,1
,obrienwilliam@yahoo.com,,1,1
,mark36@gmail.com,,1,1
,nancy13@gmail.com,,1,1
,gwilson@gilmore.net,,1,1
,simpsonmario@yahoo.com,,1,1
,amy54@baker.com,,1,1
,keithschmidt@yahoo.com,,1,1
,zsmith@gmail.com,,1,1
,shuynh@martin.com,,1,1
,andrew80@gmail.com,,1,1
,omitchell@alvarado-jackson.com,,1,1
,aprilgamble@yahoo.com,,1,1
,alvarezpaul@gmail.com,,1,1
,lauren23@pace.com,,1,1
,jamie33@vasquez-sanchez.com,,1,1
,frank43@gmail.com,,1,1
,campbellgloria@hotmail.com,,1,1
,brownkaren@yahoo.com,,1,1
,jeffreyhill@yahoo.com,,1,1
,cthomas@hotmail.com,,1,1
,destiny92@hotmail.com,,1,1
,lauren87@hotmail.com,,1,1
,hansenbrian@gmail.com,,1,1
,ajones@salas.com,,1,1
,zwilliams@rich.com,,1,1
,andersonkayla@gmail.com,,1,1
,david00@hodge.com,,1,1
,estradanicole@chandler.org,,1,1
,xbaker@ellis.com,,1,1
,rachelgray@wilson.biz,,1,1
,johnsonashley@gmail.com,,1,1
,kathleen77@chambers.com,,1,1
,tortega@contreras.org,,1,1
,cameron67@berry-turner.com,,1,1
,samanthasmith@hotmail.com,,1,1
,lrichardson@davis.info,,1,1
,johnsonjames@hotmail.com,,1,1
,joselang@johnson.com,,1,1
,rossruth@yahoo.com,,1,1
,watkinsjason@anderson-riley.com,,1,1
,odunn@yahoo.com,,1,1
,alyssa08@yahoo.com,,1,1
,jonesrebecca@hotmail.com,,1,1
,maria76@hotmail.com,,1,1
,jonathan95@martinez.com,,1,1
,stephanie67@velasquez.com,,1,1
,danielrichardson@gmail.com,,1,1
,mlang@maldonado.biz,,1,1
,jamiebailey@gmail.com,,1,1
,carsonwalter@figueroa-thomas.info,,1,1
,kburgess@gmail.com,,1,1
,ecox@jackson-butler.info,,1,1
,catherineshea@murphy.info,,1,1
,justinsnyder@gmail.com,,1,1
,julie34@johnson.biz,,1,1
,haileywood@morgan.com,,1,1
,brandiburke@hernandez.com,,1,1
,tjames@reed-greer.info,,1,1
,darlenelopez@gmail.com,,1,1
,imiller@gmail.com,,1,1
,martinalyssa@yahoo.com,,1,1
,shaneparker@yahoo.com,,1,1
,brookethompson@smith-randolph.com,,1,1
,hhale@myers.com,,1,1
,martinezlaura@campos-martinez.com,,1,1
,kandersen@spencer.org,,1,1
,sarajones@gmail.com,,1,1
,carla33@gmail.com,,1,1
,obriggs@rios.org,,1,1
,leeadrian@zhang.com,,1,1
,jessicaburke@hotmail.com,,1,1
,stacey86@lewis-becker.org,,1,1
,jenniferbarnes@sharp-davis.info,,1,1
,wbooker@yahoo.com,,1,1
,craigramirez@gmail.com,,1,1
,robertjacobs@gmail.com,,1,1
,sjohnson@gmail.com,,1,1
,gcarr@gmail.com,,1,1
,thomasjeffrey@gray-stewart.com,,1,1
,aharding@ferguson.com,,1,1
,tatekristin@lee.info,,1,1
,herreracody@hardin-fleming.info,,1,1
,cynthiabutler@hotmail.com,,1,1
,kiarabrown@yahoo.com,,1,1
,monicaoliver@joseph-thompson.com,,1,1
,jacksonsamantha@gmail.com,,1,1
,hardyjustin@long.com,,1,1
,stacey51@hotmail.com,,1,1
,katiemurray@yahoo.com,,1,1
,jeremiah97@yahoo.com,,1,1
,grayjessica@smith-johnson.com,,1,1
,kimberlycarr@gmail.com,,1,1
,sarah12@hotmail.com,,1,1
,paynegwendolyn@gmail.com,,1,1
,amberhampton@hotmail.com,,1,1
,sandrakelly@hotmail.com,,1,1
,christinaclark@robinson.com,,1,1
,richard69@jackson-ewing.com,,1,1
,whiteelizabeth@kerr-cox.com,,1,1
,apruitt@gmail.com,,1,1
,ccampbell@ramirez.com,,1,1
,lewisbeth@bowman.net,,1,1
,jacob42@combs.net,,1,1
,fwarren@hotmail.com,,1,1
,heatherdawson@ruiz-patterson.com,,1,1
,meganwelch@perry-oconnor.com,,1,1
,thompsonkelly@morris.com,,1,1
,smithdanielle@yahoo.com,,1,1
,ubrown@yahoo.com,,1,1
,donna66@melton.com,,1,1
,tamarahall@gmail.com,,1,1
,brandy55@reed.com,,1,1
,jgutierrez@hall.com,,1,1
,pamela41@yahoo.com,,1,1
,johnnynicholson@hart.com,,1,1
,geraldpoole@mcknight.info,,1,1
,jessicahenry@hotmail.com,,1,1
,jamesevans@gilbert.com,,1,1
,josephwilliams@pennington.com,,1,1
,monicaallen@hotmail.com,,1,1
,kevinjohnson@clark-hudson.net,,1,1
,thomas05@hotmail.com,,1,1
,debra69@yahoo.com,,1,1
,michael11@jordan.com,,1,1
,leejames@hotmail.com,,1,1
,rmiller@yahoo.com,,1,1
,qrobertson@cole.org,,1,1
,laura79@yahoo.com,,1,1
,lawrencematthew@hotmail.com,,1,1
,rallison@hotmail.com,,1,1
,reyesphilip@gmail.com,,1,1
,brittanyrogers@cruz-lewis.com,,1,1
,michaelsherman@gmail.com,,1,1
,fcoleman@christensen-larson.com,,1,1
,irichmond@hotmail.com,,1,1
,jared57@calderon.biz,,1,1
,veronica40@hotmail.com,,1,1
,chloe57@parker-wong.com,,1,1
,thomasgarcia@gmail.com,,1,1
,joe67@gmail.com,,1,1
,kaylariley@thomas.biz,,1,1
,myersrobert@yahoo.com,,1,1
,christie82@yahoo.com,,1,1
,nmartin@mayer.net,,1,1
,derickson@hotmail.com,,1,1
,roseryan@gmail.com,,1,1
,butlermary@yahoo.com,,1,1
,michelle25@hernandez.com,,1,1
,fitzgeraldelizabeth@yahoo.com,,1,1
,ashleygarcia@hotmail.com,,1,1
,gsullivan@gmail.com,,1,1
,daniel78@hotmail.com,,1,1
,owensrita@valenzuela-aguilar.com,,1,1
,haley85@hotmail.com,,1,1
,ramosangela@yahoo.com,,1,1
,parrishnancy@yahoo.com,,1,1
,robinsondenise@brown.com,,1,1
,victorialeblanc@gmail.com,,1,1
,julia07@yahoo.com,,1,1
,bcarey@gmail.com,,1,1
,scott14@gmail.com,,1,1
,obennett@herrera.com,,1,1
,ashleyfields@holden-moore.com,,1,1
,aaron57@collins.com,,1,1
,katherinehinton@gmail.com,,1,1
,paul40@robinson-le.com,,1,1
,hickswhitney@douglas.com,,1,1
,hoffmanbianca@gmail.com,,1,1
,solomonsean@case.biz,,1,1
,glen00@hotmail.com,,1,1
,maria59@hotmail.com,,1,1
,mallory08@gmail.com,,1,1
,blackburnchristopher@good-perez.net,,1,1
,jwalker@hotmail.com,,1,1
,kperez@everett.com,,1,1
,stephen25@gmail.com,,1,1
,timothy06@yahoo.com,,1,1
,eramirez@douglas-williams.com,,1,1
,mjohnson@guerrero-gonzalez.org,,1,1
,edward42@hotmail.com,,1,1
,brownjoshua@yahoo.com,,1,1
,casenicholas@mann.com,,1,1
,mary04@kaufman.com,,1,1
,clarkjeffery@yahoo.com,,1,1
,owendenise@chandler.com,,1,1
,owatkins@gmail.com,,1,1
,jessethomas@barton-salinas.net,,1,1
,ashley89@roberson.com,,1,1
,swansonteresa@stewart.info,,1,1
,jon89@howard.com,,1,1
,crystal64@lopez.org,,1,1
,jeffrey01@yahoo.com,,1,1
,loveamy@thomas.com,,1,1
,hilljennifer@gray.com,,1,1
,laura32@jackson.net,,1,1
,bryan08@avila.com,,1,1
,edward84@hotmail.com,,1,1
,sarah24@gmail.com,,1,1
,kennedyangela@frey.com,,1,1
,phamilton@gmail.com,,1,1
,susanclark@gmail.com,,1,1
,wjoseph@soto-foley.net,,1,1
,paulshelton@ross.com,,1,1
,ryan00@melton.com,,1,1
,sheila79@jones.biz,,1,1
,mcguirerebecca@hotmail.com,,1,1
,whitedavid@gmail.com,,1,1
,emoore@hopkins.com,,1,1
,wpratt@gmail.com,,1,1
,amullins@boyer-smith.net,,1,1
,danavega@carson.com,,1,1
,davisjustin@yahoo.com,,1,1
,garrisonlisa@gray.org,,1,1
,keith63@yahoo.com,,1,1
,victoriaward@gmail.com,,1,1
,maria83@gmail.com,,1,1
,steven69@hotmail.com,,1,1
,markharris@gmail.com,,1,1
,carrilloadam@miller-martinez.com,,1,1
,iweeks@hotmail.com,,1,1
,dcarr@stone-kennedy.org,,1,1
,scottmoore@barrett-cohen.com,,1,1
,iperry@gmail.com,,1,1
,simmonsjasmine@hotmail.com,,1,1
,murphyadriana@schroeder.com,,1,1
,heathermorgan@kennedy.com,,1,1
,raycook@dennis.biz,,1,1
,fritzkaitlyn@west-rodriguez.com,,1,1
,williamgray@hotmail.com,,1,1
,heather82@petersen-harris.info,,1,1
,mitchelljamie@rose-flores.com,,1,1
,jordanrobert@lozano.com,,1,1
,rgomez@gmail.com,,1,1
,krussell@yahoo.com,,1,1
,srivera@griffith-ellis.com,,1,1
,omay@ibarra.net,,1,1
,andrew17@yahoo.com,,1,1
,jeremyaustin@hotmail.com,,1,1
,ryangomez@yahoo.com,,1,1
,michael53@hotmail.com,,1,1
,zleonard@yahoo.com,,1,1
,ischmidt@harris.com,,1,1
,cjames@wilson.info,,1,1
,joe30@hotmail.com,,1,1
,taylor08@guzman.com,,1,1
,randyjones@brooks.com,,1,1
,shafferlaurie@hotmail.com,,1,1
,woodpeter@greene.net,,1,1
,smithmindy@skinner.com,,1,1
,jennifermendoza@williams-torres.biz,,1,1
,leonard79@vance-clark.com,,1,1
,ashleybailey@yahoo.com,,1,1
,bjenkins@fernandez.com,,1,1
,barry82@edwards-grant.com,,1,1
,danny52@marshall.com,,1,1
,jenkinsmolly@escobar.net,,1,1
,robersonstephanie@flores.com,,1,1
,adamsvanessa@burton-anderson.net,,1,1
,perezchristopher@gmail.com,,1,1
,kelly94@hotmail.com,,1,1
,mmcfarland@hotmail.com,,1,1
,setholiver@gmail.com,,1,1
,gerald03@melton-sanchez.com,,1,1
,castromackenzie@hotmail.com,,1,1
,russelllittle@williams-daugherty.com,,1,1
,katherinebarrera@rivera.net,,1,1
,thomas14@gmail.com,,1,1
,vhernandez@cooper.biz,,1,1
,johncollins@hotmail.com,,1,1
,lambryan@yahoo.com,,1,1
,gloria36@walker.com,,1,1
,ramirezkenneth@ortiz.com,,1,1
,huertabrian@hotmail.com,,1,1
,smithchristine@dean.com,,1,1
,gjones@hotmail.com,,1,1
,patriciasmith@yahoo.com,,1,1
,williamgordon@herrera.com,,1,1
,tgarza@horton-jenkins.com,,1,1
,harrislori@gmail.com,,1,1
,watersbarry@hansen-price.info,,1,1
,millerjulie@gmail.com,,1,1
,john19@yahoo.com,,1,1
,adonovan@cooper.com,,1,1
,novakrobert@hotmail.com,,1,1
,kimberlyhernandez@lopez-washington.com,,1,1
,matthewsosa@martinez-johnson.com,,1,1
,jackfloyd@gmail.com,,1,1
,leslie73@foster-gonzalez.org,,1,1
,sheila67@hotmail.com,,1,1
,mcosta@gmail.com,,1,1
,seanhines@martin-ford.info,,1,1
,adam31@todd.com,,1,1
,elizabeth74@yahoo.com,,1,1
,natashavasquez@james.net,,1,1
,ericjohnson@gmail.com,,1,1
,kinghannah@lane-lee.com,,1,1
,hillsavannah@williams-adams.com,,1,1
,danielle03@yahoo.com,,1,1
,teresarichardson@griffin-jackson.com,,1,1
,parkerdavid@gmail.com,,1,1
,josephkim@mueller.com,,1,1
,tonyhoward@murray.biz,,1,1
,amy02@rivers-ayala.com,,1,1
,melinda01@yahoo.com,,1,1
,klynn@yahoo.com,,1,1
,lmorris@whitehead-beck.net,,1,1
,carrie79@mccormick-alvarado.com,,1,1
,jason16@gmail.com,,1,1
,andres30@gmail.com,,1,1
,ajames@gmail.com,,1,1
,ugallegos@hotmail.com,,1,1
,vnguyen@gmail.com,,1,1
,anthonycruz@anderson.info,,1,1
,reesetimothy@briggs.com,,1,1
,robin55@golden.com,,1,1
,meaganmoss@gmail.com,,1,1
,churchronald@yahoo.com,,1,1
,robert23@zavala.com,,1,1
,jessehays@yahoo.com,,1,1
,evanselizabeth@rocha-vega.com,,1,1
,wcoleman@hotmail.com,,1,1
,vhamilton@cook.com,,1,1
,derrick18@robinson-clark.com,,1,1
,lthompson@santana.com,,1,1
,fordelizabeth@jones.net,,1,1
,estradablake@casey.org,,1,1
,coxharold@hernandez.biz,,1,1
,qrobertson@hotmail.com,,1,1
,nbrown@johnson-vance.com,,1,1
,kwalker@thomas.com,,1,1
,mariemayo@garcia-powers.org,,1,1
,sharon48@yahoo.com,,1,1
,jenkinsfaith@green-stephenson.com,,1,1
,herreraelizabeth@gmail.com,,1,1
,rachel06@gomez.com,,1,1
,olsonandrew@yahoo.com,,1,1
,tammy58@cross.biz,,1,1
,qflores@brown-howard.net,,1,1
,asanders@hotmail.com,,1,1
,terri63@torres-mora.com,,1,1
,sharon95@williams-williams.info,,1,1
,alexis42@gmail.com,,1,1
,tstrickland@hotmail.com,,1,1
,johnsoneric@thompson.biz,,1,1
,mbautista@gmail.com,,1,1
,arnoldanna@nash.com,,1,1
,catherine90@yahoo.com,,1,1
,michael43@sharp-haynes.net,,1,1
,daniel02@anderson-james.biz,,1,1
,heathergutierrez@jones.com,,1,1
,sylviaschultz@skinner.com,,1,1
,alex70@gmail.com,,1,1
,austinbrian@gmail.com,,1,1
,lukejames@mueller.com,,1,1
,estradaeduardo@hotmail.com,,1,1
,blairbonnie@gmail.com,,1,1
,breed@jackson.com,,1,1
,danielfischer@yahoo.com,,1,1
,jcampbell@newton.com,,1,1
,michelle20@gmail.com,,1,1
